Group,Location,Address,phone number
4,Abbotts Hill Elementary School,5575 Abbotts Bridge Road,470-300-6216        1 poster
4,Taylor Road Middle School,5150 Taylor Road,770-692-4345        1 poster
4,Northview High School,10625 Parsons Road,470-823-2592        1 poster
4,Findley Oaks Elementary,5880 Findley Chase Drive,770-692-4792        1 poster
4,Johns Creek High School,5575 State Bridge Rd,762-239-4975        1 poster
4,Johns Creek United Methodist,11180 Medlock Bridge Rd,762-239-4633        1 poster
4,River Trail Middle School,10795 Rogers Circle,770-692-7099        1 poster
5,Hammond Park Gym,705 Hammond Drive Ne,470-673-6746        2 posters
5,Sandy Springs Library,395 Mount Vernon Hwy Ne,762-239-4784        1 poster
5,Church of The Redeemer,5185 Peachtree Dunwoody Rd,762-239-4767        1 poster
5,Abernathy Arts Center,254 Johnson Ferry Rd,762-239-4785        1 poster
5,Ridgeview Charter Middle School,5340 South Trimble Rd,470-673-6646        1 poster
5,Sarah Smith Intermediate School,4141 Wieuca Rd NE,770-692-4348        1 poster
5,Lake Forest Elementary School,5920 Sandy Springs Cir,470-823-2395        1 poster
5,Sandy Springs United Methodist,86 Mount Vernon Hwy Nw,770-692-5232        1 poster
5,North Fulton Training Center,5025 Roswell Road,770-692-7134       1 poster
5,St. James United Methodist Church {ATL),4400 Peachtree Dunwoody Rd,762-239-4124       1 poster
5,Heritage Hall,6110 Blue Stone Rd,770-692-7112       1 poster
5,High Point Elementary,520 Greenland Rd,470-673-7814       1 poster
6,Sara Rawson Smith School,370 Old Ivy Rd Ne,470-300-5970        2 posters
6,Chastain Park Gymnasium,140 W Wieuca Rd,762-239-4483        2 posters
6,Mount Vernon Baptist Church,850 Mt Vernon Hwy Nw,770-692-3313       1 poster
6,Roswell High School,11595 King Road,470-823-1850       1 poster
6,Peachtree Presbyterian Church,3434 Roswell Rd,470-823-2001       1 poster
6,Heards Ferry Elementary,6151 Powers Ferry Rd NW,479-823-2509        1 poster
6,Sutton Middle School,2875 Northside Dr,762-239-4588        1 poster
6,Warren T. Jackson Elementary School,1325 Mt Paran Rd,762-239-4924        1 poster
6,Atlanta History Center,130 West Faces Ferry Rd NW,470-823-2571       1 poster
7,Sandtown Park Gymnasium,5320 Campbellton Rd,770-692-6149       2 posters
7,Ralph Bunche Middle School,1925 Niskey Lake Rd Sw,770-692-5832        2 posters
7,William Walker Recreation Center,2405 Fairburn Rd Sw,470-673-6576        1 poster
7,Southwest Arts Center,915 New Hope Rd,470-823-2585        1 poster
7,Fickett Elementary School,3935 Rux Rd,762-239-4519       1 poster
7,Deerwood Elementary,3070 Fairburn Rd SW,470-823-2296        1 poster
7,Believers Bible Christian Church,3689 Campbellton Rd SW,762-239-4772        1 poster
7,St Mark AME Church,3605 Campbellton Rd SW,470-823-2560        1 poster
7,Southwest Christian Academy,3911 Campbellton Rd SW,770-692-3483        1 poster
8,West Lake High School,2400 Union Rd,762-239-4974        2 posters
8,The Enon Church,3550 Enon Rd,470-823-2443        2 posters
8,Cliftondale Park Community House,4645 Butner Rd,470-673-7776       2 posters
8,Wolf Creek Branch Library,3100 Enon Rd Sw,470-885-8606        1 poster
8,Langston Hughes High School,7510 Hall Road,470-823-2288        1 poster
8,Cliftondale United Methodist Church,4095 Stonewall Tell Rd,470-885-8721       1 poster
8,Friendship Community Church,4141 Old Fairburn Rd,762-239-4709        1 poster
8,Cliftondale Elementary,3340 West Stubbs Rd,470-300-7023        1 poster
9,Louise Watley Library at Southeast Atlanta,1463 Pryor Road Sw,470-823-2022        2 posters
9,FanPlex,768 Hank Aaron Dr SE,762-239-4795        2 posters
9,Metropolitan Library,1332 Metropolitan Pkwy Sw,470-823-1799       2 posters
9,Pittman Park Recreation Center,950 Garibaldi St,770-692-5834        2 posters
9,James Orange Park,1305 Oakland Ln,762-239-4474        1 poster
9,St. Peter Missionary Baptist Church,1558 Venetian Dr,762-239-4718       1 poster
9,Manning Oaks Elementary School,405 Cumming St,470-823-2998        1 poster
9,West Oakland Missionary Baptist Church,1025 Violet St,770-692-4842        1 poster
9,Perkerson Park Recreation Center,770 Deckner Ave,770-692-3971       1 poster
9,Arthur Langford Jr. Recreation Center,1614 Arthur Langford Jr Pl SW,770-692-6568        1 poster
9,The Love Center,1680 Campbellton Rd SW,770-692-4783        1 poster
9,Sylvan MiddIe,1461 Sylvan Rd SW,470-823-1724       1 poster
10,Hoyt Smith Center,3444 N Fulton Ave,770-692-4794        1 poster
10,Jefferson Park Recreation Center,1431 Norman Berry Drive,762-239-4661       1 poster
10,College Park Auditorium,3631 Main Street,770-692-7105       1 poster
10,Impact Church,2323 Sylvan Road,762-239-4891       1 poster
10,Bowden Senior Center,2885 Church St,762-239-4234        1 poster
10,College Park Library,3647 Main Street,770-692-6061       1 poster
10,John Birdine Neighborhood Facility,215 Lakewood Way Sw,770-692-6925        1 poster
11,C.T. Martin Natatorium & Recreation Center,3201 M L King Jr Dr SW,470-823-9963        2 posters
11,Jackson Memorial Baptist Church,534 Fairburn Rd,470-885-8607        2 posters
11,West Manor Park Recreation Center,3240 West Manor Cir,470-885-8612        2 posters
11,The Kindezi School - West,286 Wilson Mill Road,770-692-7065        1 poster
11,Southwest Regional Library (Evelyn G. Lowe,3665 Cascade Rd,470-885-8716        1 poster
11,Collier Park Recreation Center,3691 Collier Dr NW,470-885-8562        1 poster
11,Concord Baptist Church,3270 Boulder Park Dr SW,770-692-7150        1 poster
11,Old Adamsville Emergency Shelter,3404 Delmar Lane,470-823-2406        1 poster
11,Aviation Community Cultural Center,3900 Aviation Cir Nw,470-823-2581        1 poster
12,First Baptist Church of Fairburn,23 Malone St SE,470-823-2559        2 posters
12,Bear Creek Middle School,7415 Herndon Rd,762-239-4858        2 posters
12,Palmetto Library,9111 Cascade Palmetto Hwy,770-692-3406        1 poster
12,Etris Community Center,5285 Lakeside Dr,470-300-1203        2 posters
12,Harvest Rain Church,8567 Bohannon Rd,762-239-4744        1 poster
12,Chattahoochee Hills City Hall,6505 Rico Rd,470-823-2497        1 poster
12,Open Word Christian Ministries,6230 Highway 92,470-823-2503        1 poster
12,The Gathering Place,6280 Bryant St,770-692-3705        1 poster
12,Creekside High School,7405 Herndon Road,762-239-4847        1 poster
13,Butler Street Baptist Church,315 Ralph Mcgill Blvd,770-692-3708        2 posters
13,Paul L. Dunbar School,500 Whitehall Terrace Sw,762-239-4760        2 posters
13,Alpharetta Library,10 Park Plaza,762-239-4849        1 poster
13,Central United Methodist Church,501 Mitchell St,770-692-7016        1 poster
13,Saint Luke's Episcopal Church,435 Peachtree St NE,770-692-3411        1 poster
13,Roswell Library,115 Norcross St,470-823-2532        1 poster
13,West Hunter Street Baptist Church,1040 Ralph David Abernathy Blvd Sw,762-239-4898        1 poster
13,Flipper Temple AME Church,580 Atlanta Student Movement Blvd,470-769-9958        1 poster
13,Dunbar Neighborhood  Center,477 Windsor St SW,762-239-4998        1 poster
13,Center for Civil & Human Rights,100 Ivan Allen Jr Blvd NW,762-239-4894        1 poster
13,West End Library,525 Peeples Street SW,470-823-9962        1 poster
13,Friendship Baptist Church,80 Walnut St SW,762-239-4848        1 poster
14,New Life Presbyterian Church,6600 Old National Hwy,770-692-3313        2 posters
14,Oakley Elementary,7220 Oakley Terrace,470-823-2509        2 posters
14,Feldwood Elementary,5790 Feldwood Rd,470-823-2380        2 posters
14,Christian City Welcome Center,7345 Red Oak Rd,762-239-4552        1 poster
14,Banneker High School,6015 Feldwood Rd,762-239-4483        1 poster
14,Burdett Park Gym,2945 Burdett Rd,470-300-5970        1 poster
14,S.L. Lewis Elementary School,6201 Connell Road,470-673-7814        1 poster
14,Creel Park,2775 Creel Road,470-823-1850        1 poster
14,McNair Middle,2800 Burdett Rd,470-823-2380        1 poster
14,Love T. Nolan Elementary,2725 Creel Road,770-692-5226        1 poster
14,Gladys Dennard Library,4055 Flat Shoals Rd,762-239-4777        1 poster
14,Bethune Elementary,5925 Old Carriage Dr,762-239-4781        1 poster
15,Webb Bridge Middle,4455 Webb Bridge Rd,470-823-2001        2 posters
15,New Prospect Elementary,3055 Kimball Bridge Rd,762-239-4176        2 posters
15,Creekview Elementary,3995 Webb Bridge Road,770-692-5832        2 posters
15,Dr. Robert E. Fulton Ocee Library,5090 Abbotts Bridge Rd,470-300-5979        2 posters
15,Alpharetta High School,3595 Webb Bridge Rd,470-823-2381        2 posters
15,Dolvin Elementary School,10495 Jones Bridge Road,770-692-6149        1 poster
15,Messiah Lutheran Church,4765 Kimball Bridge Road,762-239-4772        1 poster
15,Autrey Mill Middle School,4110 Old Alabama Road,470-823-2296        1 poster
15,Barnwell Elementary,9425 Barnwell Rd,770-692-4818       1 poster
15,Ocee Elementary,4375 Kimball Bridge Rd,
15,Clear Springs Baptist Church,11575 Jones Bridge Rd,
15,Northeast / Spruill Oaks Library,9560 Spruill Road,
16,Peachtree Hills Recreation Center,308 Peachtree Hills Ave Ne,470-673-7908        2 posters
16,Buckhead Library,269 Buckhead Ave,470-823-2527        2 posters
16,Cathedral of Saint Philip,2744 Peachtree Rd Nw,762-239-4786        1 poster
16,Second Ponce De Leon Baptist Church,2715 Peachtree Rd Ne - Fam Life Center,470-823-2253        1 poster
16,E. Rivers Elementary,8 Peachtree Battle Ave NW,470-823-2589        1 poster
16,Garden Hills Elementary,285 Sheridan Dr NE,470-885-8721        1 poster
16,Mountain Park Community Building,100 Lakeshore Dr,470-300-7023        1 poster
16,Covenant presbyterian Church,2461 Peachtree Road,470-300-5979        1 poster
16,Buckhead Theatre,3110 Roswell Rd NE,770-692-3483        1 poster
17,Hopewell Baptist Church,15730 Hopewell Rd,762-239-4957        2 posters
17,Brookview Elementary School,3250 Hammarskjold Dr,470-719-2529        2 posters
17,Tracey Wyatt Community Center,2300 Godby Rd,770-692-3293        1 poster
17,Solid Rock Pentecostal Church,4707 Washington Rd,762-239-4916        1 poster
17,Welcome All Recreation Center,4255 Will Lee Road,470-823-2240        1 poster
17,Fire Station # 17,8675 Ridge Rd,470-823-2562        1 poster
17,Camp Truitt Senior Center,4320 Herschel Rd,762-239-4895        1 poster
17,Camp Creek Middle School,4345 Welcome All Ter,470-823-2286        1 poster
18,Hillside Elementary School,9250 Scott Rd,470-885-8624        2 posters
18,Sandy Springs Middle School,8750 Pride Place,762-239-4822        1 poster
18,Temple Emanu-El of Greater Atlanta,1580 Spalding Dr,470-823-2463        1 poster
18,Woodland Elementary,1130 Spalding Dr,770-692-3393        1 poster
18,North Fulton Annex,7741 Roswell Rd,470-823-2597        1 poster
18,First Baptist Church of Sandy Springs / Com,650 Mt Vernon Hwy,470-823-2154        1 poster
18,North Springs High School,7447 Roswell Rd,770-692-3823        1 poster
18,Saint Jude Catholic Church,7171 Glenridge Dr Ne,770-692-7110        1 poster
18,Ison Springs Elementary,8261 Ison Rd,470-823-2481        1 poster
18,Sherwood Events,8610 Roswell Rd,470-823-1186        1 poster
18,Spalding Drive Elementary,130 West Spalding Drive Ne,770-692-4801        1 poster
19,Morningside Baptist Church Gym,1700 Piedmont Road,470-823-2596        2 posters
19,Lutheran Church of the Redeemer,731 Peachtree St NE,762-239-4880        2 posters
19,Peachtree Christian Church,1580 Peachtree Street Nw,470-823-2535        2 posters
19,Piedmont Park Magnolia Hall,1320 Monroe Dr,470-823-2166        2 posters
19,Morningside Elementary School,774 Virginia Ave,762-239-4843        1 poster
19,Park Tavern,500 10th St NE,470-823-2580        1 poster
19,First Presbyterian Church,1328 Peachtree Street,470-769-9015        1 poster
19,Georgia Tech McCamish Pavilion,965 Fowler St NW,770-692-6991        1 poster
19,Morningside Presbyterian,1411 North Moringside Dr NE,470-823-1966        1 poster
19,The Fox Theatre,660 Peachtree St NE,770-692-6243        1 poster
19,Haygood Memorial United Methodist,1015 E Rock Springs Rd NE,470-885-8644        1 poster
19,Historic Academy of Medicine,875 West Peachtree St NW,470-823-2448        1 poster
20,Wilson Creek Elementary,6115 Wilson Rd,770-692-3902        2 posters
20,Dobbs Elementary School,2025 Jonesboro Rd Se,470-823-9965        2 posters
20,Bible Way Ministries,894 Constitution Rd,770-692-4788        1 poster
20,Benteen Elementary School,200 Cassanova St,770-692-4797        1 poster
20,Cleveland Avenue Elementary School,2672 Old Hapeville Rd,770-692-4800        1 poster
20,Thomasville Recreation Center,1835 Henry Thomas Dr,770-692-4802        1 poster
20,South Atlanta High School,800 Hutchens Rd,762-239-4918        1 poster
20,Rosel Fann Recreation Center,365 Cleveland Ave SE,770-692-3484        1 poster
20,Cleveland Avenue Library,47 Cleveland Ave,470-673-6627        1 poster
21,Cogburn Woods Elementary School,13080 Cogburn Rd,470-823-2109        2 posters
21,Alpharetta Crabapple Government Center,12624 Broadwell Rd,770-692-5833        2 posters
21,Cambridge High School,2845 Bethany Bend,470-673-6949        1 poster
21,Birmingham Falls Elementary,14865 Birmingham Hwy,770-692-3751        1 poster
21,Wills Park Recreation Center,11925 Wills Rd,470-673-7783        1 poster
21,Milton Library,855 Mayfield Rd,470-885-8730        1 poster
21,St. James United Methodist Church (ALPH),3000 Webb Bridge Rd,762-239-4993        1 poster
21,Alpharetta Elementary,192 Mayfield Rd,762-239-4886        1 poster
21,Alpharetta American Legion,201 Wills Rd,762-239-4670        1 poster
21,Hope well Middle School,13060 Cogburn Rd,470-673-7193        1 poster
21,Summit Hill Elementary,13855 Providence Rd,470-823-2521        1 poster
22,Lang-Carson Recreation Center (RRC),100 Flat Shoals Ave,762-239-4887        2 posters
22,Central Park Recreation Center,400 Merritts Ave NE,470-823-2551        1 poster
22,Parkside Elementary School,685 Mercer St Se,470-885-8879        1 poster
22,Ormewood Park Presbyterian Church,1071 Delaware Avenue,770-692-3826        1 poster
22,Helene Mills Senior Center,515 John Wesley Dobbs Ave NE,470-885-8587        1 poster
22,Liberty Baptist Church,395 Chamberlain St Se,770-692-4355        1 poster
22,Grant Park Recreation Center,537 Park Avenue,470-769-9865        1 poster
22,Little 5 Point Community Center,1083 Austin Ave,470-300-7005        1 poster
22,David T. Howard Middle School,551 John Wesley Dobbs Ave NE,770-692-5526        1 poster
22,Ponce City Market,675 Ponce De Leon Ave NE,770-692-4815        1 poster
22,Dad’s Garage Theatre,569 Ezzard St SE,470-823-2445        1 poster
22,Ponce De Leon ribray,980 Ponce De Leon Ave,770-692-6022        1 poster
23,Joseph McGhee Tennis Center,820 Beecher Ct,762-239-4820        1 poster
23,Tuskegee Airmen Global Academy,1626 Westhaven Dr SW,770-692-5831        1 poster
23,St. Paul's Episcopal Church,306 Peyton Rd,762-239-4963        1 poster
23,Beecher Hills Elementary School,2257 Bollingbrook Dr SW,770-692-4795        1 poster
23,Berean Seventh Day Adventist Church,291 Hamilton E Holmes Dr,770-692-5411        1 poster
23,West Side Community CME Church,2114 Martin Luther King Jr Dr,470-823-2570        1 poster
23,C.A. Scott Recreation Bldg,1565 M L King Jr Dr Sw,770-692-7107        1 poster
23,Radcliffe Presbyterian Church,286 Hamilton E. Holmes Dr NW,770-692-3413        1 poster
23,Salem Bible Church,2283 Baker Road,762-239-4295        1 poster
24,St Stephen Missionary Baptist Church,2670 Hogan Rd,470-300-7005        2 posters
24,Cascade Elementary School,2326 Venetian Dr Sw,770-692-6022        1 poster
24,Therrell D.M. High School,3099 Panther Trail Sw,762-239-4601        1 poster
24,Continental Colony Elementary School,3181 Hogan Rd,470-823-2177        1 poster
24,Adams Park Library,2231 Campbellton Rd SW,470-823-2549        1 poster
24,Mount Carmel Baptist Church,2755 Campbellton Rd,770-693-4843
24,Adams Park Recreation Center,1620 Delowe Drive SW,470-823-2457        1 poster
24,Asa Hillard Elementary,3353 Mount Olive Rd,470-673-6496        1 poster
24,Woodland Middle,2745 Stone Road,470-885-8649        1 poster
25,Morris Brandon Primary Center School,2845 Margaret Mitchell Dr,762-239-4884        2 posters
25,Northwest Library at Scotts Crossings,2489 Perry Blvd Nw,470-823-2753        2 posters
25,East Point First Mallalieu UM Church,2651 Church St,470-769-9918        1 poster
25,Coretta Scott King Young Women’s Leadership,1190 Northwest Dr NW,470-823-9951        1 poster
25,Bitsy Grant Tennis Center,2125 Northside Dr,470-885-8611        1 poster
25,Morris Brandon Elementary School,2741 Howell Mill Rd Nw,470-673-6925        1 poster
25,Bolton Academy Elementary,2268 Adams Dr NW,470-769-9934        1 poster
25,Springfield Missionary Baptist,1730 Hollywood Rd,770-692-3402        1 poster
25,Trinity Presbyterian Church,3003 Howell Mill Road NW,762-239-4754        1 poster
25,Scott Elementary,1752 Hollywood Rd Nw,770-692-3686        1 poster
25,Northside Library,3295 Northside Pkwy,470-823-2489        1 poster
25,New Beginning Senior Center,66 Brooks Drive,770-692-6057        1 poster
